name,times,rank
E. Dana Durand,4,25
Howard B. Myers,4,25
Zenon Szatrowski,4,25
Robert Morse Woodbury,4,25
Richard O. Lang,4,25
Howard G. Brunsman,4,25
Joseph A. Pierce,4,25
Tseng-Tung Cheng,4,25
Leonard Ascher,4,25
Vladimir S. Kolesnikoff,4,25
Herbert G. Smith,4,25
G. R. Davies,4,25
Leslie E. Simon,4,25
L. C. Wilcoxen,4,25
Marion M. Sandomire,4,25
Alba M. Edwards,4,25
H. Gregg Lewis,4,25
Norris O. Johnson,4,25
Francis McIntyre,4,25
F. Leslie Hayford,4,25
Dwight B. Yntema,4,25
Raymond Pearl,4,25
Jacob Perlman,4,25
Don D. Humphrey,4,25
L. D. H. Weld,4,25
David Weintraub,4,25
Edward E. Lewis,4,25
Hugo Muench,4,25
A. L. Bowley,4,25
Leonard Kuvin,4,25
M. C. Rorty,4,25
Robert E. Chaddock,4,25
Arch D. Schultz,4,25
Louis Bader,4,25
John R. Riggleman,4,25
Henry Schultz,4,25
John H. Cover,4,25
Emmett H. Welch,4,25
L. H. Bean,4,25
Jean Downes,4,25
Bradford B. Smith,4,25
Walter Crosby Eells,4,25
Forrest Bee Ashby,4,25
F. L. Carmichael,4,25
Leonard P. Ayres,4,25
Karl G. Karsten,4,25
Warren S. Thompson,4,25
Helen D. Falkner,4,25
Edward P. Neale,4,25
Leroy E. Peabody,4,25
Lincoln W. Hall,4,25
Paul H. Douglas,4,25
Sir George H. Knibbs,4,25
Warren M. Persons,4,25
Franz Boas,4,25
W. A. Berridge,4,25
Ryan Martin,4,25
Lan Wang,4,25
Bing Li,4,25
Michael Smith,4,25
Yanyuan Ma,4,25
M. J. Bayarri,4,25
L. A. Stefanski,4,25
Mei-Cheng Wang,4,25
Carmen Fernández,4,25
Joshua D. Angrist,4,25
Joseph G. Ibrahim,4,25
Bruce G. Lindsay,4,25
Jonathan Raz,4,25
Frank B. Baker,4,25
Jiming Jiang,4,25
C. F. Jeff Wu,4,25
Li Ma,4,25
Ying Qing Chen,4,25
Iain M. Johnstone,4,25
Danny Pfeffermann,4,25
Siddhartha Chib,4,25
Halina Frydman,4,25
John Geweke,4,25
Ola Hössjer,4,25
Chuanhai Liu,4,25
J. L. Gastwirth,4,25
Stanley L. Sclove,4,25
S. N. Nath,4,25
Raymond T. Bowman,4,25
Malcolm J. Slakter,4,25
Ansley J. Coale,4,25
Ira Rosenwaike,4,25
S. G. Prabhu Ajgaonkar,4,25
Martin Schatzoff,4,25
Colin B. Fogarty,3,26
Ming-Yen Cheng,3,26
Matthew Plumlee,3,26
Chiung-Yu Huang,3,26
T. Tony Cai,3,26
Peter Radchenko,3,26
Markus Frölich,3,26
Antonio Lijoi,3,26
Shelby J. Haberman,3,26
Sudipto Banerjee,3,26
Jianhua Hu,3,26
Guosheng Yin,3,26
Yu Shen,3,26
Minge Xie,3,26
Jiahua Chen,3,26
Hua Liang,3,26
Piotr Fryzlewicz,3,26
Qing Liu,3,26
Peihua Qiu,3,26
Jianguo Sun,3,26
Jerome P Reiter,3,26
David A Harville,3,26
Ming Yuan,3,26
Yi Li,3,26
D. Y Lin,3,26
Pedro Puig,3,26
Joseph G Ibrahim,3,26
Cavan Reilly,3,26
Peter Bühlmann,3,26
Dean A. Follmann,3,26
John I. Marden,3,26
Xiao-Li Meng,3,26
Chris J. Lloyd,3,26
Doug Nychka,3,26
Yu Xie,3,26
Robert D. Gibbons,3,26
Geof H. Givens,3,26
Richard A. Berk,3,26
Daniel O. Scharfstein,3,26
Joseph B. Lang,3,26
Axel Munk,3,26
Thomas S. Shively,3,26
Michael J. Greenwood,3,26
Douglas P. Wiens,3,26
Alice S. Whittemore,3,26
Piet de Jong,3,26
Richard A. Johnson,3,26
James H. Stock,3,26
Constantinos Goutis,3,26
Jim Albert,3,26
Margaret Sullivan Pepe,3,26
David Ruppert,3,26
Thomas Mathew,3,26
K. B. Kulasekera,3,26
Nicholas I. Fisher,3,26
Mario Peruggia,3,26
Peter H. Westfall,3,26
Guohua Pan,3,26
Mike Jacroux,3,26
Kazuo Yamaguchi,3,26
Eric Ghysels,3,26
Martin T. Wells,3,26
Govind S. Mudholkar,3,26
Michael Leblanc,3,26
V. P. Godambe,3,26
Jon Wakefield,3,26
Jian-Shen Chen,3,26
Elja Arjas,3,26
Robert E. Kass,3,26
N. E. Breslow,3,26
Michael A. Newton,3,26
Javier Rojo,3,26
Charles J. Geyer,3,26
Mayer Alvo,3,26
A. C. Atkinson,3,26
Donald Guthrie,3,26
Anthony J. Hayter,3,26
Daniel Zelterman,3,26
Richard E. Barlow,3,26
Robert H. Shumway,3,26
Benjamin Kedem,3,26
Jan Beran,3,26
D. Y. Lin,3,26
Ralph A. Bradley,3,26
Peter J. Rousseeuw,3,26
Clifford M. Hurvich,3,26
Robert W. Mee,3,26
Mark J. Schervish,3,26
Hal Stern,3,26
Persi Diaconis,3,26
Philip J. Smith,3,26
Stephen J. Finch,3,26
Tom Leonard,3,26
Barry H. Margolin,3,26
Kenneth C. Land,3,26
P. J. Bickel,3,26
Edward B. Fowlkes,3,26
Albert W. Marshall,3,26
Satoru Kanoh,3,26
Gregory C. Reinsel,3,26
Neil C. Schwertman,3,26
Vincent N. Lariccia,3,26
Scott L. Zeger,3,26
Michael Haber,3,26
Kenneth J. Koehler,3,26
Gary A. Simon,3,26
Stephen C. Hora,3,26
Samuel H. Preston,3,26
John D. Emerson,3,26
A. C. Harvey,3,26
K. Ruben Gabriel,3,26
Richard L. Dykstra,3,26
William H. Dumouchel,3,26
Richard M. Heiberger,3,26
Frank de Leeuw,3,26
A. J. Scott,3,26
Camil Fuchs,3,26
Cary T. Isaki,3,26
E. Jacquelin Dietz,3,26
John J. Wiorkowski,3,26
Kenneth J. Arrow,3,26
William E. Wecker,3,26
Alastair Scott,3,26
Sylvan Wallenstein,3,26
Robert Bohrer,3,26
Victor Hasselblad,3,26
C. P. Shapiro,3,26
Gary O. Zerbe,3,26
James A. Koziol,3,26
H. J. Keselman,3,26
Melvin R. Novick,3,26
John E. Hewett,3,26
D. V. Gokhale,3,26
Abraham Genizi,3,26
F. T. Wright,3,26
Kinley Larntz,3,26
Donald A. Berry,3,26
Robert E. Bechhofer,3,26
Joseph Waksberg,3,26
Tim Robertson,3,26
Timothy W. McGuire,3,26
Warren T. Dent,3,26
John Crowley,3,26
Daniel A. Relles,3,26
Larry D. Haugh,3,26
Jerome Klotz,3,26
Linda S. Chan,3,26
R. J. Serfling,3,26
James B. Ramsey,3,26
Takamitsu Sawa,3,26
Dennis O. Dixon,3,26
L. D. Broemeling,3,26
Hardeo Sahai,3,26
Frank Proschan,3,26
A. R. Sen,3,26
Matthew Goldstein,3,26
Bartholomew P. Hsi,3,26
B. V. Sukhatme,3,26
Bruce W. Turnbull,3,26
P. L. Claypool,3,26
Edward O. Thorp,3,26
Agnes Berger,3,26
G. M. Kaufman,3,26
Cuthbert Daniel,3,26
Paul W. Mielke Jr.,3,26
Myint Tin,3,26
R. K. Zeigler,3,26
Donald G. Morrison,3,26
C. Philip Cox,3,26
Shelley Zacks,3,26
Brian L. Joiner,3,26
John A. Cornell,3,26
Dennis J. Aigner,3,26
David C. Bowden,3,26
T. D. Wallace,3,26
John S. Chipman,3,26
Benjamin J. Tepping,3,26
John Leroy Folks,3,26
Rory Thompson,3,26
H. D. Brunk,3,26
Capt. D. R. Barr,3,26
Martin J. Bailey,3,26
D. W. Gaylor,3,26
D. B. Owen,3,26
Irwin D. J. Bross,3,26
Wilson L. Taylor,3,26
Sidney J. Cutler,3,26
M. B. Wilk,3,26
Ernest M. Scheuer,3,26
Abner Hurwitz,3,26
Murray Brown,3,26
E. P. Hutchinson,3,26
J. H. Chung,3,26
Julius Shiskin,3,26
L. L. Thurstone,3,26
A. E. Sarhan,3,26
A. de la Garza,3,26
Abraham Golub,3,26
Andrew W. Marshall,3,26
George Garvy,3,26
Aryness Joy Wickens,3,26
Leo A. Aroian,3,26
Roe Goodman,3,26
Raymond J. Jessen,3,26
John N. Webb,3,26
Q. Forrest Walker,3,26
Henry B. Arthur,3,26
J. Neyman,3,26
F. Stuart Chapin,3,26
W. A. Shewhart,3,26
Edgar Sydenstricker,3,26
O. Gressens,3,26
Ephraim M. Hanks,3,26
Mauricio Sadinle,3,26
Curtis B. Storlie,3,26
Michael W. Robbins,3,26
Edoardo M. Airoldi,3,26
Peter J. Diggle,3,26
Tianxi Cai,3,26
Yunzhang Zhu,3,26
Yehua Li,3,26
Jing Lei,3,26
Lisha Chen,3,26
Jian Zhang,3,26
Roderick J. Little,3,26
Donatello Telesca,3,26
Huixia Judy Wang,3,26
Sylvain Sardy,3,26
Ranjan Maitra,3,26
David B. Dunson,3,26
Jeng-Min Chiou,3,26
Yingcun Xia,3,26
Naisyin Wang,3,26
Wensheng Guo,3,26
Francesca Dominici,3,26
Balgobin Nandram,3,26
Xihong Lin,3,26
Louis-Paul Rivest,3,26
Siem Jan Koopman,3,26
A. S. Hedayat,3,26
Chu-In Charles Lee,3,26
Guido Consonni,3,26
Philip E. Cheng,3,26
Giovanni Parmigiani,3,26
Duncan K. H. Fong,3,26
Jeffrey Grogger,3,26
H. L. Gray,3,26
Peter F. Thall,3,26
Eugene F. Fama,3,26
W. G. Bulgren,3,26
Samprit Chatterjee,3,26
D. Singh,3,26
Dalia Chakrabarty,2,27
Matthew Blackwell,2,27
David S. Matteson,2,27
Shujie Ma,2,27
Yifei Sun,2,27
J. L. Scealy,2,27
Matthias Katzfuss,2,27
Mark Fiecas,2,27
Andreas Hagemann,2,27
Xinlei Wang,2,27
Veronika Ročková,2,27
Valentin Patilea,2,27
Bing-Yi Jing,2,27
J. D. Godolphin,2,27
Yanxun Xu,2,27
Tyler H. McCormick,2,27
Samuel D. Pimentel,2,27
Junhui Wang,2,27
Samiran Sinha,2,27
Efstathia Bura,2,27
Wei Liu,2,27
Shuyuan He,2,27
F. Jay Breidt,2,27
Wenjiang Fu,2,27
Yuan Jiang,2,27
Zeng-Hua Lu,2,27
Bo Jiang,2,27
Brigham R. Frandsen,2,27
Harry Crane,2,27
Kentaro Fukumoto,2,27
Hui Huang,2,27
Qing Zhou,2,27
